GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07,HD01_VD08,HD02_VD08,HD01_VD09,HD02_VD09,HD01_VD10,HD02_VD10,HD01_VD11,HD02_VD11,HD01_VD12,HD02_VD12,HD01_VD13,HD02_VD13,HD01_VD14,HD02_VD14,HD01_VD15,HD02_VD15,HD01_VD16,HD02_VD16,HD01_VD17,HD02_VD17,HD01_VD18,HD02_VD18,HD01_VD19,HD02_VD19,HD01_VD20,HD02_VD20,HD01_VD21,HD02_VD21,HD01_VD22,HD02_VD22,HD01_VD23,HD02_VD23,HD01_VD24,HD02_VD24,HD01_VD25,HD02_VD25,HD01_VD26,HD02_VD26,HD01_VD27,HD02_VD27,HD01_VD28,HD02_VD28,HD01_VD29,HD02_VD29,HD01_VD30,HD02_VD30,HD01_VD31,HD02_VD31,HD01_VD32,HD02_VD32,HD01_VD33,HD02_VD33,HD01_VD34,HD02_VD34,HD01_VD35,HD02_VD35,HD01_VD36,HD02_VD36
0500000US01001,01001,"Autauga County, Alabama",33267,2306,48819,1806,55557,4972,63333,10482,49139,2976,57083,18156,61250,20592,75259,7272,32393,33581,38272,4831,40625,8018,29006,22647,39132,2210,12969,31509,48662,4885,51415,2611,31484,12055,17692,2478,22344,9172,46000,9182,32454,15256,49882,6815,14088,2671,12684,2698,14881,4195,26687,1982,24813,4169,28226,4414,31819,3245,77813,61406,31128,7730,31402,5135,35594,3034,36059,3893,47266,13608,19076,4808
0500000US01003,01003,"Baldwin County, Alabama",31540,683,49524,1811,57150,6980,63422,6512,49923,4506,73398,8476,64133,13586,79840,23510,45037,4485,40756,2830,44340,9117,45842,25959,42772,1841,27056,11743,49076,3755,60309,3448,33397,7947,16878,1268,20319,2426,40868,4962,38750,7933,44071,8245,12266,1441,20806,2091,14849,2913,25981,1257,26460,2768,25612,1520,31496,1216,31396,4338,30243,2897,35603,3882,30549,1606,29604,4554,35504,6260,24182,3580
0500000US01005,01005,"Barbour County, Alabama",26575,1653,41652,2638,51797,5980,52775,7119,48043,10379,48315,8797,42222,11722,60313,27961,63125,118346,40450,3717,52837,24168,76080,18280,40190,5305,15556,6012,35970,7700,44803,11260,21250,13711,15809,1926,21005,2563,26447,11234,16458,26405,35625,6629,10531,1843,18375,4990,11563,2219,21622,952,20450,2263,22140,1782,31235,3644,36164,5905,27207,6613,37847,11189,26094,4884,25339,4900,37282,6017,16607,3497
0500000US01007,01007,"Bibb County, Alabama",30088,2224,40787,2896,50069,12841,67917,26016,27407,21107,80781,61661,102321,27858,36429,39617,-,**,40477,9660,22390,21553,-,**,42068,4212,-,**,31681,13989,31121,11084,40144,31800,16204,2842,4698,15440,41658,6549,53583,23687,41304,1884,12729,3142,17115,15663,18108,2008,24509,6483,23952,7382,24870,11301,40935,7864,20536,14629,40128,18938,45952,5622,28983,3401,31881,2317,26580,2901,23479,4942
0500000US01009,01009,"Blount County, Alabama",34900,2063,46593,2963,47003,6189,50991,5913,41050,1789,63667,8499,49196,12910,71836,4571,30956,22818,38198,6362,33375,19090,42328,10654,41786,4333,30951,2197,49066,3437,51287,3577,34063,12304,19415,5044,23975,5070,42359,7623,54028,13919,40890,2859,11800,1249,22153,9332,11949,4536,28364,3209,31639,8611,27590,2805,38857,4320,24063,14655,36529,2247,42489,7176,32969,3767,31814,4551,41375,5280,26755,2963
0500000US01011,01011,"Bullock County, Alabama",23998,3240,39091,7597,40934,2957,40404,5075,54167,7316,-,**,-,**,-,**,-,**,30724,31998,-,**,120613,68411,14861,38989,-,**,11146,37910,48167,36495,-,**,18095,7306,16181,30254,47686,13134,-,**,47686,13134,4390,11259,11071,25065,19630,3850,20667,7380,23618,19316,18778,8527,21291,6944,22241,4865,14794,41314,7375,63922,25713,3352,23531,5706,31141,812,25380,6312
0500000US01013,01013,"Butler County, Alabama",27434,1994,42161,2426,42391,4933,42679,6273,41818,8041,60313,13208,62031,32405,50000,19033,115795,121973,40946,8980,42778,19344,50781,52920,43750,6204,21250,14893,36906,5977,51339,9308,33750,9068,16917,1592,21438,3239,33750,9029,12625,16935,37375,10104,13027,2100,17331,2206,16111,13351,22907,2972,22202,9827,23133,2589,30054,6208,29625,25723,26888,6160,33750,10894,28325,3165,28052,5498,31875,8159,26534,1235
0500000US01015,01015,"Calhoun County, Alabama",28183,1501,41933,1225,50217,6332,51559,4623,41639,2455,52966,3250,49013,15485,60951,15010,40602,6130,36720,4104,33886,3895,76042,105296,40418,3561,19750,10374,41243,2553,52964,5001,26680,5760,15318,893,19808,5209,35684,3011,26337,12447,36868,7309,11595,1117,16079,1279,13141,2325,23781,1691,19090,3869,26183,1465,32716,4774,21627,5408,26613,2261,41326,3530,30350,1339,31070,1923,33767,4428,23595,4747
0500000US01017,01017,"Chambers County, Alabama",28218,1769,43218,2889,46612,6768,55750,11072,38929,12757,42132,11002,60132,37576,50000,23812,32406,7660,36406,5924,26089,9334,44412,36460,39167,3444,15455,18747,49821,16338,52199,7649,38438,16401,15758,1520,26613,5730,24655,12045,21458,8133,31367,11785,11615,1945,18816,3283,12866,2674,22542,1650,17436,4091,24758,1843,40134,4710,36042,25438,40542,4357,39813,13914,27420,2418,29778,2885,32386,21812,22048,1658
0500000US01019,01019,"Cherokee County, Alabama",30360,1343,42276,4464,40775,2431,40262,3857,56645,17553,41090,7566,45588,24558,46563,11207,16660,7660,43849,9192,29091,23310,142589,201901,42857,11044,47813,83129,47083,4104,61000,13506,25900,6549,16573,1254,18092,3978,30982,17091,"2,500-",***,46371,2826,9049,2953,21272,5887,15639,1579,25556,3061,21361,5721,30425,9432,30848,8989,20526,10141,22349,5510,41611,7769,30059,2637,32083,5888,29063,13421,19569,5858
